Company,Q4_2024,Q3_2024,Q2_2024,Q1_2024,Q4_2023,Q3_2023,Q2_2023,Q1_2023,Q4_2022,Q3_2022,Q2_2022,Q1_2022,Q4_2021,Q3_2021,Q2_2021,Q1_2021,Q4_2020,Q3_2020,Q2_2020,Q1_2020,Q4_2019,Q3_2019,Q2_2019,Q1_2019,Q4_2018,Q3_2018,Q2_2018,Q1_2018,Q4_2017,Q3_2017,Q2_2017,Q1_2017,Q4_2016,Q3_2016,Q2_2016,Q1_2016,Q4_2015,Q3_2015,Q2_2015,Q1_2015,Q4_2014,Q3_2014,Q2_2014,Q1_2014,Q4_2013,Q3_2013,Q2_2013,Q1_2013,Q4_2012,Q3_2012,Q2_2012,Q1_2012,Q4_2011,Q3_2011,Q2_2011,Q1_2011,Q4_2010,Q3_2010,Q2_2010,Q1_2010
Alphabet,DNA,DNA,DNA,Decrease,Decrease,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Increase,Decrease,Increase,Decrease,Increase,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Amazon.com,DNA,DNA,DNA,Decrease,Decrease,Increase,Increase,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Increase,Increase,Decrease,Decrease,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Berkshire Hathaway Inc.,DNA,DNA,DNA,Decrease,DNA,DNA,Decrease,Decrease,Increase,Decrease,Decrease,Increase,DNA,DNA,Decrease,Increase,Increase,Decrease,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
"Cardinal Health, Inc.",DNA,DNA,Decrease,Decrease,Increase,Decrease,DNA,DNA,Decrease,Increase,Increase,DNA,DNA,Increase,DNA,DNA,DNA,DNA,DNA,DNA,DNA,Decrease,DNA,DNA,DNA,Increase,Increase,DNA,DNA,Increase,DNA,DNA,DNA,Unchange,DNA,DNA,Increase,Decrease,Increase,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Centene Corporation,DNA,DNA,DNA,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Chevron,DNA,DNA,DNA,Increase,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Increase,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Comcast,DNA,DNA,DNA,Decrease,Increase,Unchange,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
ExxonMobil,DNA,DNA,DNA,Decrease,Increase,Decrease,Increase,Increase,Increase,Decrease,Decrease,Increase,Increase,Decrease,Unchange,Decrease,Increase,Decrease,Increase,Increase,Increase,Decrease,Increase,Decrease,Increase,Decrease,Unchange,Decrease,Increase,Decrease,Decrease,Increase,Increase,Decrease,Increase,Decrease,Increase,Increase,Increase,Decrease,Increase,Decrease,Unchange,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
Tesla Inc.,DNA,DNA,DNA,Increase,Increase,Decrease,Decrease,Increase,Increase,DNA,DNA,Increase,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,DNA,DNA,Decrease,Decrease,Increase,Increase,Increase,Increase,Increase,Decrease,Increase,Decrease,Decrease,Increase,Decrease,Increase,Decrease,Increase,Decrease,Increase,Increase,Decrease,Decrease,Decrease,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
UnitedHealth Group,DNA,DNA,DNA,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,Increase,Decrease,Decrease,Decrease,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA,DNA
